STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,crops,Crops,strucpro,Structure of production,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2020,,279.02,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2021,,279.86,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2022,,295.51,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2023,,281.98,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2024,,274.23,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2010,,3297.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2011,,3248.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2012,,3056.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2013,,3128.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2014,,3219.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2015,,3282.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2016,,3201.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2017,,3202.60,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2018,,3036.30,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2019,,3118.10,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2020,,2835.50,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2021,,2939.00,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2022,,2980.90,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2023,,2897.80,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),DE,Germany,2024,,2615.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2010,,1948.07,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2011,,2372.71,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2012,,2188.17,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2013,,2124.97,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2014,,2171.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2015,,2176.35,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2016,,2256.85,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2017,,2062.71,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2018,,2063.68,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2019,,1920.09,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2020,,1914.66,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2021,,2128.47,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2022,,2172.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2023,,1957.76,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),ES,Spain,2024,,1956.21,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2010,,1517.81,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2011,,1781.84,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2012,,1275.50,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2013,,1597.71,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2014,,1804.02,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2015,,1715.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2016,,1965.54,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2017,,1434.38,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2018,,1367.06,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2019,,1596.88,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2020,,1652.74,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2021,,1547.60,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2022,,1712.53,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2023,,1744.82,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),AT,Austria,2024,,1576.01,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2010,,23782.96,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2011,,22782.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2012,,22409.30,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2013,,25019.10,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2014,,27784.80,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2015,,26549.50,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2016,,24463.80,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2017,,24481.60,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2018,,20263.50,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2019,,23062.60,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2020,,22172.10,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2021,,21459.20,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2022,,22587.30,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2023,,21535.90,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),DE,Germany,2024,,18526.70,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2010,,6079.36,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2011,,7957.86,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2012,,5310.52,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2013,,7924.91,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2014,,6621.89,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2015,,6627.04,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2016,,8199.69,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2017,,5033.04,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2018,,8322.51,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2019,,6041.17,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2020,,8143.51,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2021,,8564.63,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2022,,6508.80,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2023,,4049.23,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,PR_HU_EU,Harvested production in EU standard humidity (1000 t),ES,Spain,2024,,7147.93,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2010,,5.01,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2011,,5.85,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2012,,4.14,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2013,,5.37,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2014,,5.92,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2015,,5.67,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2016,,6.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2017,,4.82,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2018,,4.64,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2019,,5.74,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2020,,5.93,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2021,,5.53,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2022,,5.80,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2023,,6.19,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),AT,Austria,2024,,5.75,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2010,,7.21,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2011,,7.01,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2012,,7.33,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2013,,8.00,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2014,,8.63,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2015,,8.09,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2016,,7.64,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2017,,7.64,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2018,,6.67,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2019,,7.40,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2020,,7.82,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2021,,7.30,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2022,,7.58,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2023,,7.43,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),DE,Germany,2024,,7.08,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2015,,3.05,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2016,,3.63,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2017,,2.44,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2018,,4.03,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2019,,3.15,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2020,,4.25,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2021,,4.02,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2022,,3.00,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2023,,2.07,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,YI_HU_EU,Yield in EU standard humidity (tonne/ha),ES,Spain,2024,,3.65,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1300,Barley,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2010,,168.89,,,,,
